dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1cd9f36f5cfa46a6a277e69ff7bdcef4a161356401661961060	0	2021-08-29	1cd9f36f5cfa46a6a277e69ff7bdcef4a161356401661961060	female	20~25	其他	湖州	NULL	NULL	ios	01:59	01:59	NULL	14	2	1	1
1cda25c0de1a438fa38177291c03a176a160658910157079811	0	2021-08-29	1cda25c0de1a438fa38177291c03a176a160658910157079811	female	25~30	白领	北京	NULL	NULL	ios	19:59	19:59	5	83	34	1	2
1cda55059d124a1ea47b38242bd6d2b9a159338588807302327	0	2021-08-29	1cda55059d124a1ea47b38242bd6d2b9a159338588807302327	male	30~35	其他	杭州	NULL	NULL	android	19:59	19:59	2	3	4	1	1
1cdb26c743f341c79aaf6bdccff47031a161013147295100554	0	2021-08-29	1cdb26c743f341c79aaf6bdccff47031a161013147295100554	unknown	NULL	其他	岳普湖县	NULL	NULL	android	19:59	19:59	NULL	NULL	NULL	NULL	NULL
1cdb2a79c4c642bcb61126d47e13cb2ca154068524791878623	0	2021-08-29	1cdb2a79c4c642bcb61126d47e13cb2ca154068524791878623	female	35~40	白领	上海	NULL	NULL	android	22:59	22:59	1	33	12	1	1
1cdc2a0f41ba43d4adda6ffdd3652362a160448702517132496	1	2021-08-29	1cdc2a0f41ba43d4adda6ffdd3652362a160448702517132496	male	20~25	白领	上海	NULL	NULL	android	12:59	12:59	7	19	8	1	2
1cdd24f00dba44cf8a4fd57c6930d3cca157438070107494456	0	2021-08-29	1cdd24f00dba44cf8a4fd57c6930d3cca157438070107494456	female	35~40	白领	北京	NULL	NULL	ios	12:59	12:59	1	7	3	1	1
1cdeb94717024650a38f62bcadfe22d4a154663792925578298	1	2021-08-29	1cdeb94717024650a38f62bcadfe22d4a154663792925578298	male	30~35	其他	无锡	NULL	NULL	android	19:59	19:59	NULL	7	4	1	1
1cdff8940a1244d59b847d7f4dc4106da159831717048089139	0	2021-08-29	1cdff8940a1244d59b847d7f4dc4106da159831717048089139	female	30~35	其他	北京	NULL	NULL	android	22:59	22:59	6	74	47	1	17
1ce05ef28776490d8b91c9c8ccf0227fa157542088780786357	0	2021-08-29	1ce05ef28776490d8b91c9c8ccf0227fa157542088780786357	male	40以上	其他	泸州	NULL	NULL	android	14:59	14:59	NULL	5	1	1	1
1ce2b1537d8843abb2d093b958f0f232a156536543891150821	1	2021-08-29	1ce2b1537d8843abb2d093b958f0f232a156536543891150821	female	30~35	其他	广州	NULL	NULL	ios	22:59	22:59	1	6	2	1	2
1ce344fb094444ceac567f889e17e177a157397575160587712	0	2021-08-29	1ce344fb094444ceac567f889e17e177a157397575160587712	female	25~30	白领	威海	NULL	NULL	ios	19:59	19:59	1	24	6	1	1
1ce396063e5645f59ae672135e07f3f4a157770333821867514	0	2021-08-29	1ce396063e5645f59ae672135e07f3f4a157770333821867514	female	20~25	其他	北京	NULL	NULL	ios	12:59	12:59	2	8	5	1	1
1ce3bb4b2c2d48a5880d3f3f2803299ca161324408016120278	0	2021-08-29	1ce3bb4b2c2d48a5880d3f3f2803299ca161324408016120278	male	35~40	白领	广州	NULL	NULL	android	12:59	12:59	NULL	2	2	1	1
